epoch,l1_loss,const_loss,discriminator_acc,font_classification_acc
1,0.0636508521437645,0.000758237069385359,0.8321683514118194,0.40875
2,0.043972875997424124,0.00039471718788263387,0.895503813624382,0.668125
3,0.04009638160467148,0.00026660741605155636,0.9462244760990143,0.665625
4,0.03704611696302891,0.00019372914131963627,0.9526211589574813,0.801875
5,0.0357233795337379,0.00018695697566727175,0.9765306007862091,0.99
6,0.03441308658570051,0.00020482773834373802,0.9577295780181885,0.9925
7,0.033842652812600134,0.00016528824213310145,0.8885969293117523,0.998125
8,0.033698561675846575,0.00017680666511296294,0.9680357033014297,0.999375
