epoch,l1_loss,const_loss,discriminator_acc,font_classification_acc
1,0.07148759875446559,0.0014750059001380578,0.8458513879776001,0.029375
2,0.054356065131723884,0.0018849657915416174,0.7917059904336929,0.283125
3,0.04633128065615892,0.002118473346927203,0.6738934862613678,0.0259375
4,0.04415633834898472,0.002174373922171071,0.8740529179573059,0.1775
5,0.042348517216742036,0.0021369923558086155,0.907570133805275,0.0803125
6,0.041867921594530344,0.0022211297147441654,0.7880644035339356,0.491875
7,0.03974134666845203,0.0022317486361134796,0.8571492177248001,0.185625
8,0.03998856781050563,0.002158777093864046,0.7341836649179458,0.27375
9,0.03863037653267384,0.0022015164222102613,0.864237869977951,0.27375
10,0.03803476935252547,0.0022775721619836984,0.8487914347648621,0.3303125
11,0.03686015972867608,0.0020915438630618156,0.9295694935321808,0.5146875
12,0.036313463356345894,0.00213496366457548,0.9345758748054505,0.241875
13,0.03538501493632793,0.002099782223813236,0.5575828975439072,0.159375
14,0.03547155736014247,0.0020873990381369365,0.7205165767669678,0.4365625
15,0.03502175509929657,0.0021650696243159474,0.8357238340377807,0.420625
16,0.034963420517742635,0.0022122603293973954,0.7351976984739304,0.328125
17,0.034886715840548276,0.0020990651223110036,0.9427423298358917,0.4725
18,0.03479674847796559,0.002202204423956573,0.9632270240783691,0.5496875
19,0.03442284291610122,0.002144915799726732,0.8421300888061524,0.549375
20,0.03422123573720455,0.002119445046992041,0.926406232714653,0.6775
21,0.03288589529693127,0.0021594517037738115,0.858641563653946,0.6459375
22,0.03263145243749022,0.002161534875049256,0.915787610411644,0.59375
23,0.03252027947455645,0.0021653745300136504,0.8111001133918763,0.6340625
24,0.03246269034221769,0.0021825225761858747,0.7193303513526916,0.5659375
25,0.0328545861877501,0.002159521661233157,0.8607015162706375,0.63
26,0.0329698115773499,0.0021757580747362227,0.8640784257650376,0.799375
27,0.03298112975433469,0.0021638891485054046,0.6796332824230195,0.6778125
28,0.03288723209872842,0.0021546195552218706,0.7928443711996078,0.7353125
29,0.032860830519348384,0.002156207072548568,0.8956696259975433,0.705
30,0.03291665211319923,0.0021540996903786436,0.7533928513526916,0.615625
31,0.03287333918735385,0.002142321031424217,0.8392601943016053,0.7515625
32,0.03283693674951792,0.0021690110192866996,0.8432939928770066,0.8034375
33,0.032850659117102624,0.002149567479500547,0.8311320012807846,0.6553125
34,0.03279557477682829,0.0021704519778722895,0.7898820096254349,0.77
35,0.03276853209361434,0.002157375213573687,0.8470312374830246,0.7496875
36,0.03270733937621117,0.0021656241704477,0.8312818777561187,0.819375
37,0.03271330187097192,0.0021780947904335335,0.9024202662706375,0.7078125
38,0.03264454431831837,0.0021758981083985418,0.7059279257059097,0.7921875
