epoch,l1_loss,const_loss,discriminator_acc,font_classification_acc
1,0.06752426337450743,0.0005832826305413618,0.9174617236852646,0.2925
2,0.047507904209196566,0.00070558595834882,0.8645726889371872,0.4375
3,0.04113906668499112,0.000544211785600055,0.9035203927755355,0.905625
4,0.03868419520556927,0.00035643023540615103,0.9614285570383072,0.92
5,0.03676267016679049,0.00022071126841183286,0.9032525426149368,0.956875
6,0.035955110136419534,0.00019087566273810806,0.9224107056856156,0.995
7,0.03522360322996974,0.00016143685461429414,0.9336925911903381,0.99875
8,0.03528142336755991,0.00013494032304151916,0.8477614724636078,0.995625
9,0.034269754197448495,0.00010453892686200561,0.931894119977951,1.0
10,0.03409113334491849,8.996305288746953e-05,0.9021938675642014,0.998125
11,0.032842215579003096,0.00010594800813123583,0.7552614688873291,1.0
12,0.032730425652116535,0.00011158918488945346,0.6523405599594116,1.0
13,0.03348540855571627,7.275240794115235e-05,0.9401211512088775,1.0
14,0.03371236862614751,6.786665624531452e-05,0.7210331606864929,1.0
15,0.033649474289268254,6.740500695741503e-05,0.6558290785551071,1.0
16,0.03375852175056934,4.983623737643938e-05,0.6185140269994736,1.0
17,0.03380285620689392,5.880830307432916e-05,0.8935714155435562,1.0
18,0.033974298592656854,5.603551066087675e-05,0.5600446426868438,1.0
19,0.03369155554100871,5.375836086386698e-05,0.581447702050209,1.0
20,0.03393905268982053,5.1835009016940604e-05,0.5580293381214142,1.0
